"filename", "language", "CSS", "HTML", "PHP", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\innokaiz-india-limited\index.php", "PHP", 0, 0, 139, 0, 0, 14, 153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\interiors-and-more-limited.php", "PHP", 0, 0, -140, 0, 0, -12, -152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\interiors-and-more-limited\index.php", "PHP", 0, 0, 140, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\jash-dealmark-Limited.php", "PHP", 0, 0, -139, 0, 0, -16, -155
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\jash-dealmarl-limited\index.php", "PHP", 0, 0, 139, 0, 0, 16, 155
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\jayant-infratech-limited.php", "PHP", 0, 0, -140, 0, 0, -11, -151
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\jayant-infratech-limited\index.php", "PHP", 0, 0, 140, 0, 0, 11, 151
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\kalyani-cast-tech-limited.php", "PHP", 0, 0, -160, 0, 0, -12, -172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\kalyani-cast-tech-limited\index.php", "PHP", 0, 0, 160, 0, 0, 12, 172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\kids-medical-System-Limited.php", "PHP", 0, 0, -160, 0, 0, -12, -172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\kids-medical-systems-limited\index.php", "PHP", 0, 0, 160, 0, 0, 12, 172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\mac-hotels-Limited.php", "PHP", 0, 0, -143, 0, 0, -12, -155
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\mac-hotels-limited\index.php", "PHP", 0, 0, 143, 0, 0, 12, 155
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\markolines-traffic-Controls-Limited.php", "PHP", 0, 0, -144, 0, 0, -11, -155
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\markolines-traffic-controls-limited\index.php", "PHP", 0, 0, 144, 0, 0, 11, 155
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\misquita-engineering-limited.php", "PHP", 0, 0, -138, 0, 0, -12, -150
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\misquita-engineering-limited\index.php", "PHP", 0, 0, 138, 0, 0, 12, 150
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\moving-media-entertainment-limited.php", "PHP", 0, 0, -80, 0, 0, -12, -92
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\moving-media-entertainment-limited\index.php", "PHP", 0, 0, 80, 0, 0, 12, 92
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\niks-technology-Limited.php", "PHP", 0, 0, -118, 0, 0, -11, -129
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\niks-technology-limited\index.php", "PHP", 0, 0, 118, 0, 0, 11, 129
