"filename", "language", "PHP", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\header copy 3.php", "PHP", 578, 0, 0, 0, 59, 637
"c:\xampp\htdocs\Gretex Corporate main\helpers\urlfetcher.php", "PHP", 18, 0, 0, 2, 4, 24
"c:\xampp\htdocs\Gretex Corporate main\index.php", "PHP", -80, 0, 0, 0, 0, -80
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\codes-and-policies.php", "PHP", -10, 0, 0, 0, 4, -6
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\announcements.php", "PHP", 4, 0, 0, 0, 3, 7
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\archival.php", "PHP", 104, 0, 0, 0, 15, 119
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\business-details.php", "PHP", 27, 0, 0, 0, 2, 29
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\compliance-with-stock-exchange.php", "PHP", 4, 0, 0, 0, 2, 6
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\composition-of-board-of-directors.php", "PHP", 27, 0, 0, 0, 2, 29
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\financial-information\annual-reports.php", "PHP", 27, 0, 0, 0, 4, 31
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\financial-information\annual-returns.php", "PHP", 27, 0, 0, 0, 4, 31
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\financial-information\financial-results.php", "PHP", 27, 0, 0, 0, 4, 31
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\financial-information\financials-subsidiary.php", "PHP", 27, 0, 0, 0, 4, 31
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\index.php", "PHP", 3, 0, 0, 0, 2, 5
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\investor-contact.php", "PHP", 28, 0, 0, 0, 3, 31
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\memorandum-of-association-and-articles-of-association.php", "PHP", 28, 0, 0, 0, 2, 30
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\notice-for-shareholders.php", "PHP", 3, 0, 0, 0, 2, 5
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\scrutinizer-report.php", "PHP", 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\shareholding-pattern.php", "PHP", 28, 0, 0, 0, 3, 31
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\statement-of-deviation.php", "PHP", 27, 0, 0, 0, 3, 30
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\disclosures-under-reg-46-of-lodr\terms-and-condition-for-appointment-of-independent-director.php", "PHP", 28, 0, 0, 0, 3, 31
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\gretex-rights-issue.php", "PHP", 27, 0, 0, 0, 4, 31
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\index.php", "PHP", -61, 0, 0, 0, 20, -41
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\investor-charter.php", "PHP", 27, 0, 0, 0, 3, 30
"c:\xampp\htdocs\Gretex Corporate main\investor-relations\investor-complaints.php", "PHP", 53, 0, 0, 0, -1, 52
"c:\xampp\htdocs\Gretex Corporate main\js\global-animations.js", "JavaScript", 0, 0, -13, 0, 0, -13
"c:\xampp\htdocs\Gretex Corporate main\js\mobilemenu.js", "JavaScript", 0, 0, 19, 1, 3, 23
"c:\xampp\htdocs\Gretex Corporate main\js\script.js", "JavaScript", 0, 0, -8, -1, 1, -8
"c:\xampp\htdocs\Gretex Corporate main\legal\privacy-policy.php", "PHP", 3, 0, 0, 0, 2, 5
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\a-m-febcon-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\aaron-industries-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\aki-india-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\akme-fintrade-india-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\amic-forging-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\anuroop-packaging-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\arc-insulation-&-insulators-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\associated-coaters-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\b&b-triplewall-containers-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\b-right-realestate-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\bcpl-railway-infrastructure-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\clara-industries-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\comrade-appliances-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\debock-sales-&-marketing-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\deep-polymers-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\dhruv-wellness-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\diggi-multitrade-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\flywings-simulator-training-center-limited\index.php", "PHP", -1, 0, 0, 0, 1, 0
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\g-m-polyplast-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\gnh-india-pharmaceuticals-limited\index.php", "PHP", 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\goel-food-products-limited\index.php", "PHP", 140, 0, 0, 0, 15, 155
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\goel-india-pharmaceuticals-limited\index.php", "PHP", -140, 0, 0, 0, -14, -154
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\index.php", "PHP", -118, 0, 0, 2, -21, -137
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\innokaiz-india-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\interiors-and-more-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\jash-dealmark-limited\index.php", "PHP", 139, 0, 0, 0, 17, 156
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\jash-dealmarl-limited\index.php", "PHP", -139, 0, 0, 0, -16, -155
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\kalyani-cast-tech-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\kids-medical-system-limited\index.php", "PHP", 160, 0, 0, 0, 13, 173
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\kids-medical-systems-limited\index.php", "PHP", -160, 0, 0, 0, -12, -172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\mac-hotels-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\markolines-traffic-controls-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\misquita-engineering-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\moving-media-entertainment-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\mpk-steels-1-limited\index.php", "PHP", 139, 0, 0, 0, 14, 153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\niks-technology-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\oan-industies-limited\index.php", "PHP", -79, 0, 0, 0, -11, -90
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\oan-industries-limited\index.php", "PHP", 79, 0, 0, 0, 12, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\omviras-marine-services-limited\index.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\paramount-dye-tec-limited\index.php", "PHP", -3, 0, 0, 0, -2, -5
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\rapid-fleet-management-services-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\rapid-multimodal-logistics-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\reetech-international-cargo-courier-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\resgen-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\retaggio-industries-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\retina-paints-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\riddhi-corporate-services-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sagar-diamonds-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sailani-tours-n-travels-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sellowrap-industries-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\shelter-pharma-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\shreyas-fabtech-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\siddharth-education-services-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\silky-overseas-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\ssg-furnishing-solution-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\steelman-telecom-limited\index.php", "PHP", 2, 0, 0, 0, 1, 3
