"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\ipo\sellowrap-industries-limited.php", "PHP", 60, 0, 0, 0, 13, 73
"c:\xampp\htdocs\Gretex Corporate main\ipo\shelter-pharma-Limited.php", "PHP", 159, 0, 0, 0, 12, 171
"c:\xampp\htdocs\Gretex Corporate main\ipo\shreyas-fabtech-limited.php", "PHP", 82, 0, 0, 0, 16, 98
"c:\xampp\htdocs\Gretex Corporate main\ipo\siddharth-education-Services-limited.php", "PHP", 160, 0, 0, 0, 13, 173
"c:\xampp\htdocs\Gretex Corporate main\ipo\silky-overseas-limited.php", "PHP", 79, 0, 0, 0, 12, 91
"c:\xampp\htdocs\Gretex Corporate main\ipo\ssg-furnishing-solution-limited.php", "PHP", 60, 0, 0, 0, 14, 74
"c:\xampp\htdocs\Gretex Corporate main\ipo\steelman-Telecom-Limited.php", "PHP", 140, 0, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\ipo\subam-papers-limited.php", "PHP", 119, 0, 0, 0, 13, 132
"c:\xampp\htdocs\Gretex Corporate main\ipo\sudharshan-pharma-industries-limited.php", "PHP", 160, 0, 0, 0, 12, 172
"c:\xampp\htdocs\Gretex Corporate main\ipo\suumaya-lifestyle-Limited.php", "PHP", 120, 0, 0, 0, 12, 132
"c:\xampp\htdocs\Gretex Corporate main\ipo\tenty-limited.php", "PHP", 79, 0, 0, 0, 12, 91
"c:\xampp\htdocs\Gretex Corporate main\ipo\trackpoint-gps-limited.php", "PHP", 79, 0, 0, 0, 12, 91
"c:\xampp\htdocs\Gretex Corporate main\ipo\transteel-Seating-Technologies-Limited.php", "PHP", 140, 0, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\ipo\veeram-ornaments-limited.php", "PHP", 120, 0, 0, 0, 14, 134
"c:\xampp\htdocs\Gretex Corporate main\ipo\yug-decor-limited.php", "PHP", 139, 0, 0, 0, 14, 153
"c:\xampp\htdocs\Gretex Corporate main\ipo\zenith-drugs-limited.php", "PHP", 140, 0, 0, 0, 13, 153
"c:\xampp\htdocs\Gretex Corporate main\js\script.js", "JavaScript", 0, 31, 0, 2, 3, 36
"c:\xampp\htdocs\Gretex Corporate main\legal\privacy-policy.php", "PHP", 42, 0, 0, 0, 11, 53
"c:\xampp\htdocs\Gretex Corporate main\services\index copy.php", "PHP", 119, 0, 0, 0, 16, 135
"c:\xampp\htdocs\Gretex Corporate main\services\index.php", "PHP", 445, 0, 0, 6, 42, 493
"c:\xampp\htdocs\Gretex Corporate main\services\service.php", "PHP", 950, 0, 0, 2, 35, 987
"Total", "-", 18500, 31, 10817, 475, 3399, 33222
